prompt,split
3 भुजाओं वाले एक हिंदू देवता का स्केच।,train
5 पैरों पर खड़ी एक उत्परिवर्ती (म्यूटेंट) बिल्ली की तस्वीर।,val
"A basketball flattened on the ground, not bouncing.",train
A campfire burning brightly underwater on the ocean floor.,train
A candle with a black wick and no flame.,train
A car made entirely of transparent glass.,train
"A cat sitting next to a cardboard box, not inside it.",test
A city street where the rain is falling upwards towards the sky.,test
A clean white dinner plate that has no food on it.,test
A close up of a gold badge that says 'POLICE'.,train
A close-up of a blue strawberry.,train
A computer screen displaying a red box with the text 'ERROR'.,train
A cube floating in the air casting a shadow that is a circle.,train
"A goldfish swimming inside a lightbulb filled with air, not water.",train
"A human hand waving, but it has only 4 fingers.",train
A landscape photo where the horizon line is vertical instead of horizontal.,train
A landscape with bright blue grass and a red sky.,train
A macro shot of exactly 2 gold coins lying on black velvet.,train
"A man looking in a mirror, but the reflection shows the back of his head.",train
A neon sign on a brick wall that says 'HELLO'.,train
A night sky with a moon that is shaped like a square.,train
A person running backwards on a track.,train
A photo of a mutant cat standing on 5 legs.,test
A photo of an empty park bench with absolutely no dogs nearby.,test
A photograph of a perfectly triangular window on a building.,train
A piece of paper with the word 'Education' written in cursive.,train
A portrait of an old man wearing a hat but no glasses.,test
A realistic close-up photo of a human hand showing exactly 6 fingers.,train
"A realistic spider that is missing a leg, so it has only 7 legs.",test
A red car driving on fluffy white clouds in the sky.,train
A rock covered in soft fur.,train
A simple wooden table with exactly 3 red apples on it.,train
A sketch of a Hindu deity with 3 arms.,train
A soccer player wearing a jersey with the number 7 on it.,train
"A surreal painting of a business suit standing up, but with no head or face visible.",train
A table with a red apple on the left and a blue cup on the right.,test
A white horse with large eagle wings on its back.,train
A wine glass shattering into pieces.,train
A zebra with green and yellow stripes.,train
Agua saliendo de una botella pero congelándose en el aire al instante.,val
Escaleras estilo Escher que suben en un bucle infinito.,val
Escher-style stairs that go up in an infinite loop.,train
Portrait of a beautiful woman with bright green skin.,train
Retrato de una hermosa mujer con la piel de color verde brillante.,train
Un boceto de una deidad hindú con 3 brazos.,train
Un caballo blanco con grandes alas de águila en la espalda.,train
Un cielo nocturno con una luna que tiene forma cuadrada.,train
Un coche hecho enteramente de vidrio transparente.,train
Un coche rojo conduciendo sobre nubes blancas y esponjosas en el cielo.,train
Un cubo flotando en el aire proyectando una sombra que es un círculo.,train
"Un gato sentado al lado de una caja de cartón, no dentro de ella.",val
"Un hombre mirándose en un espejo, pero el reflejo muestra la parte posterior de su cabeza.",train
Un jugador de fútbol con una camiseta que tiene el número 7.,train
Un letrero de neón en una pared de ladrillo que dice 'HELLO'.,train
Un paisaje con hierba azul brillante y un cielo rojo.,train
"Un pez dorado nadando dentro de una bombilla llena de aire, no de agua.",test
Un plato de cena blanco y limpio que no tiene comida.,val
Un primer plano de una fresa azul.,test
Un primer plano de una insignia dorada que dice 'POLICE'.,train
Un retrato de un anciano con sombrero pero sin gafas.,test
Un trozo de papel con la palabra 'Education' escrita en cursiva.,train
"Una araña realista a la que le falta una pata, por lo que solo tiene 7 patas.",train
"Una calle de la ciudad donde la lluvia cae hacia arriba, hacia el cielo.",test
Una cebra con rayas verdes y amarillas.,train
Una copa de vino haciéndose añicos.,train
Una fogata ardiendo brillantemente bajo el agua en el fondo del océano.,train
Una foto de paisaje donde la línea del horizonte es vertical en lugar de horizontal.,train
Una foto de un banco de parque vacío sin absolutamente ningún perro cerca.,train
Una foto de un gato mutante de pie sobre 5 patas.,train
Una foto realista de primer plano de una mano humana que muestra exactamente 6 dedos.,train
Una fotografía de una ventana perfectamente triangular en un edificio.,test
"Una mano humana saludando, pero tiene solo 4 dedos.",val
Una mesa con una manzana roja a la izquierda y una taza azul a la derecha.,train
Una mesa de madera sencilla con exactamente 3 manzanas rojas encima.,train
Una pantalla de computadora que muestra un cuadro rojo con el texto 'ERROR'.,train
"Una pelota de baloncesto aplastada en el suelo, sin rebotar.",train
Una persona corriendo hacia atrás en una pista.,train
"Una pintura surrealista de un traje de negocios de pie, pero sin cabeza ni rostro visible.",train
Una roca cubierta de pelaje suave.,train
Una toma macro de exactamente 2 monedas de oro sobre terciopelo negro.,train
Una vela con una mecha negra y sin llama.,train
Water pouring out of a bottle but freezing in mid-air instantly.,train
حصان أبيض له أجنحة نسر كبيرة على ظهره.,train
حمار وحشي بخطوط خضراء وصفراء.,train
رجل ينظر في المرآة، لكن الانعكاس يظهر مؤخرة رأسه.,train
رسم لإله هندوسي بـ 3 أذرع.,train
سلالم على طراز إيشر تصعد في حلقة لا نهائية.,val
سماء ليلية بها قمر مربع الشكل.,val
سمكة ذهبية تسبح داخل مصباح كهربائي مملوء بالهواء وليس الماء.,train
سيارة حمراء تسير على سحب بيضاء رقيقة في السماء.,train
سيارة مصنوعة بالكامل من الزجاج الشفاف.,train
شارع في المدينة حيث يتساقط المطر صعوداً نحو السماء.,train
شاشة كمبيوتر تعرض مربعاً أحمر مع نص 'ERROR'.,train
شخص يركض للخلف على مضمار.,train
شمعة بفتيل أسود وبدون لهب.,train
صخرة مغطاة بالفراء الناعم.,train
صورة لامرأة جميلة ذات بشرة خضراء زاهية.,train
صورة لرجل عجوز يرتدي قبعة ولكن بدون نظارة.,train
صورة لقطة متحولة تقف على 5 أرجل.,train
صورة لمقعد حديقة فارغ ولا يوجد أي كلاب قريبة إطلاقاً.,train
صورة لنافذة مثلثة تماماً على مبنى.,train
صورة مقربة واقعية ليد بشرية تظهر 6 أصابع بالضبط.,train
صورة منظر طبيعي حيث خط الأفق عمودي بدلاً من أفقي.,train
طاولة خشبية بسيطة عليها 3 تفاحات حمراء بالضبط.,train
طاولة عليها تفاحة حمراء على اليسار وكوب أزرق على اليمين.,train
طبق عشاء أبيض نظيف لا يوجد عليه طعام.,train
عنكبوت واقعي يفتقد ساقاً، لذا لديه 7 أرجل فقط.,train
قطة تجلس بجوار صندوق من الورق المقوى، وليست بداخله.,val
قطعة من الورق كتب عليها كلمة 'Education' بخط متصل.,test
كأس نبيذ يتحطم إلى قطع.,train
كرة سلة مسطحة على الأرض، لا ترتد.,train
لاعب كرة قدم يرتدي قميصاً عليه الرقم 7.,train
لافتة نيون على جدار من الطوب تقول 'HELLO'.,train
لقطة ماكرو لعملتين ذهبيتين بالضبط ملقاة على مخمل أسود.,train
لقطة مقربة لشارة ذهبية مكتوب عليها 'POLICE'.,val
لقطة مقربة لفراولة زرقاء.,train
لوحة سريالية لبدلة عمل تقف، ولكن دون رأس أو وجه مرئي.,train
ماء ينسكب من زجاجة لكنه يتجمد في الهواء فوراً.,train
مكعب يطفو في الهواء يلقي ظلاً عبارة عن دائرة.,train
منظر طبيعي بعشب أزرق لامع وسماء حمراء.,train
نار مخيم تشتعل بشكل مشرق تحت الماء في قاع المحيط.,train
يد بشرية تلوح، لكن لها 4 أصابع فقط.,train
आसमान में सफेद बादलों पर चलती हुई एक लाल कार।,train
इमारत पर एक पूरी तरह से त्रिकोणीय खिड़की की तस्वीर।,train
ईंट की दीवार पर एक नियॉन साइन जिस पर 'HELLO' लिखा है।,train
"एक आदमी आईने में देख रहा है, लेकिन प्रतिबिंब उसके सिर के पिछले हिस्से को दिखाता है।",train
एक इंसानी हाथ की यथार्थवादी क्लोज़-अप फोटो जिसमें ठीक 6 उंगलियां दिखाई दे रही हों।,train
"एक इंसानी हाथ लहरा रहा है, लेकिन उसमें केवल 4 उंगलियां हैं।",train
एक कंप्यूटर स्क्रीन जिस पर एक लाल बॉक्स दिखाई दे रहा है जिसमें 'ERROR' लिखा है।,train
एक खाली पार्क बेंच की तस्वीर जिसके आसपास बिल्कुल कोई कुत्ता नहीं है।,val
"एक गत्ते के डिब्बे के बगल में बैठी बिल्ली, उसके अंदर नहीं।",train
एक नीले स्ट्रॉबेरी का क्लोज़-अप।,train
एक परिदृश्य तस्वीर जहां क्षितिज रेखा क्षैतिज के बजाय ऊर्ध्वाधर (खड़ी) है।,train
"एक बिज़नेस सूट की असली पेंटिंग जो खड़ी है, लेकिन कोई सिर या चेहरा दिखाई नहीं दे रहा है।",train
एक मेज जिसके बाईं ओर एक लाल सेब है और दाईं ओर एक नीला कप है।,train
"एक यथार्थवादी मकड़ी जिसका एक पैर गायब है, इसलिए उसके केवल 7 पैर हैं।",train
एक रात का आकाश जिसमें एक चंद्रमा है जो चौकोर आकार का है।,train
एक शहर की सड़क जहां बारिश आसमान की ओर ऊपर जा रही है।,train
एक सफेद घोड़ा जिसकी पीठ पर बड़े ईगल के पंख हैं।,train
एक साधारण लकड़ी की मेज जिस पर ठीक 3 लाल सेब रखे हैं।,test
एक साफ सफेद खाने की प्लेट जिस पर कोई खाना नहीं है।,train
एक सुनहरी मछली जो हवा से भरे (पानी से नहीं) लाइटबल्ब के अंदर तैर रही है।,train
एक सॉकर खिलाड़ी जिसने जर्सी पहनी है जिस पर नंबर 7 लिखा है।,train
एक सोने के बैज का क्लोज़-अप जिस पर 'POLICE' लिखा है।,val
एस्चर-शैली की सीढ़ियाँ जो एक अनंत लूप में ऊपर जाती हैं।,train
कागज का एक टुकड़ा जिस पर कर्सिव में 'Education' शब्द लिखा है।,train
काली बाती वाली एक मोमबत्ती और कोई लौ नहीं।,train
काले मखमल पर पड़े ठीक 2 सोने के सिक्कों का मैक्रो शॉट।,train
चमकदार नीली घास और लाल आसमान वाला एक परिदृश्य।,train
चमकदार हरी त्वचा वाली एक खूबसूरत महिला का चित्र।,train
"ज़मीन पर चपटी हुई बास्केटबॉल, उछल नहीं रही है।",val
टुकड़ों में बिखरता हुआ एक वाइन ग्लास।,test
"टोपी पहने हुए एक बूढ़े आदमी का चित्र, लेकिन चश्मा नहीं।",train
ट्रैक पर पीछे की ओर दौड़ता हुआ एक व्यक्ति।,train
पूरी तरह से पारदर्शी कांच से बनी एक कार।,val
बोतल से पानी गिर रहा है लेकिन हवा में ही तुरंत जम रहा है।,train
मुलायम फर से ढकी एक चट्टान।,train
समुद्र के तल पर पानी के भीतर एक कैम्प फायर (अलाव) जल रहा है।,train
हरी और पीली धारियों वाला एक ज़ेबरा।,train
हवा में तैरता हुआ एक घन जिसकी परछाई एक वृत्त (गोला) है।,train
অট্টালিকা এটাত এখন সম্পূৰ্ণ ত্ৰিভুজাকাৰ খিৰিকীৰ ফটো।,train
আকাশত বগা ডাৱৰৰ ওপৰেৰে চলি থকা এখন ৰঙা গাড়ী।,train
ইটাৰ দেৱালত এটা নিয়ন চাইন য'ত 'HELLO' বুলি লিখা আছে।,train
উজ্জ্বল নীলা ঘাঁহ আৰু ৰঙা আকাশ থকা এক দৃশ্য।,test
উজ্জ্বল সেউজীয়া ছালৰ এগৰাকী সুন্দৰী মহিলাৰ প্ৰতিকৃতি।,train
এখন কম্পিউটাৰ স্ক্ৰীণ য'ত 'ERROR' লিখা এটা ৰঙা বাকচ দেখা গৈছে।,train
এখন কাগজৰ টুকুৰা য'ত 'Education' শব্দটো পেঁচাই লিখা আছে।,val
এখন খালী উদ্যানৰ বেঞ্চৰ ফটো যাৰ আশে-পাশে কোনো কুকুৰ নাই।,train
এখন চহৰৰ ৰাস্তা য'ত বৰষুণজাক আকাশৰ ফালে ওপৰলৈ গৈ আছে।,val
এখন টেবুল যাৰ বাওঁফালে এটা ৰঙা আপেল আৰু সোঁফালে এটা নীলা কাপ আছে।,train
এখন নিশাৰ আকাশ য'ত জোনটো বৰ্গাকৃতিৰ।,train
এখন প্ৰাকৃতিক দৃশ্যৰ ফটো য'ত দিগন্ত ৰেখা অনুভূমিক হোৱাৰ পৰিৱৰ্তে উলম্ব।,train
এখন পৰিষ্কাৰ বগা খোৱা প্লেট যাৰ ওপৰত কোনো খাদ্য নাই।,train
"এখন মানুহৰ হাতে লৰাই আছে, কিন্তু তাত মাত্ৰ ৪টা আঙুলিহে আছে।",test
এখন মানুহৰ হাতৰ বাস্তৱধৰ্মী ফটো য'ত ঠিক ৬টা আঙুলি দেখা গৈছে।,train
এখন মিউটেণ্ট মেকুৰীৰ ফটো যিটো ৫খন ভৰিত থিয় হৈ আছে।,train
এখন সাধাৰণ কাঠৰ টেবুল যাৰ ওপৰত ঠিক ৩টা ৰঙা আপেল আছে।,train
এজন ফুটবলাৰ যিয়ে ৭ নম্বৰ লিখা জাৰ্চি পিন্ধি আছে।,train
"এজন মানুহে আইনা চাই আছে, কিন্তু প্ৰতিবিম্বত তেওঁৰ মূৰৰ পিছফালটো দেখা গৈছে।",train
"এজনী বাস্তৱধৰ্মী মকৰা যাৰ এখন ভৰি নাই, গতিকে তাৰ মাত্ৰ ৭খন ভৰিহে আছে।",train
"এটা গোল্ডফিছ যিটো পানীৰে নহয়, বতাহেৰে ভৰা লাইটবাল্বৰ ভিতৰত সাঁতুৰি আছে।",train
এটা নীলা ষ্ট্ৰবেৰীৰ ক্ল'জ আপ।,val
এটা বগা ঘোঁৰা যাৰ পিঠিত ঈগলৰ ডাঙৰ পাহি আছে।,train
"এটা মেকুৰী কাৰ্ডবৰ্ডৰ বাকচৰ কাষত বহি আছে, তাৰ ভিতৰত নহয়।",train
এটা সোণৰ বেজৰ ক্ল'জ আপ য'ত 'POLICE' বুলি লিখা আছে।,train
এস্কাৰ-শৈলীৰ চিৰি যিবোৰ এটা অনন্ত লুপত ওপৰলৈ গৈ থাকে।,val
কলা ভেলভেটৰ ওপৰত থকা ঠিক ২টা সোণৰ মুদ্ৰাৰ মেক্ৰ’ শ্বট।,train
কলা শলিতা থকা এডাল মমবাতি আৰু কোনো জুই নাই।,train
কোমল নোমেৰে আবৃত এটা শিল।,test
টুকুৰা টুকুৰকৈ ভাঙি যোৱা এটা ৱাইন গ্লাছ।,test
টুপি পিন্ধা এজন বৃদ্ধ মানুহৰ প্ৰতিকৃতি কিন্তু চচমা নাই।,train
ট্ৰেকত পিছফাললৈ দৌৰি থকা এজন ব্যক্তি।,val
"থিয় হৈ থকা এটা ব্যৱসায়িক চুটৰ অতিবাস্তৱ ছবি, কিন্তু কোনো মূৰ বা মুখ দেখা যোৱা নাই।",train
বটলৰ পৰা পানী ওলাইছে কিন্তু লগে লগে বতাহতে গোট মাৰিছে।,train
বতাহত ভাঁহি থকা এটা ঘনক যাৰ ছাঁটো এটা বৃত্ত।,train
"মাটিত চেপেটা হৈ থকা এটা বাস্কেটবল, বাউন্স হোৱা নাই।",train
সম্পূৰ্ণ স্বচ্ছ কাঁচৰ দ্বাৰা নিৰ্মিত এখন গাড়ী।,train
সাগৰৰ তলত পানীৰ তলত উজ্জ্বলকৈ জ্বলি থকা এক কেম্পফায়াৰ।,val
সেউজীয়া আৰু হালধীয়া পটি থকা এটা জেব্ৰা।,train
৩খন হাত থকা এজন হিন্দু দেৱতাৰ স্কেচ।,train
