id,domain,language,prompt
1,Counting,en,A realistic close-up photo of a human hand showing exactly 6 fingers.
2,Counting,hi,एक इंसानी हाथ की यथार्थवादी क्लोज़-अप फोटो जिसमें ठीक 6 उंगलियां दिखाई दे रही हों।
3,Counting,es,Una foto realista de primer plano de una mano humana que muestra exactamente 6 dedos.
4,Counting,ar,صورة مقربة واقعية ليد بشرية تظهر 6 أصابع بالضبط.
5,Counting,as,এখন মানুহৰ হাতৰ বাস্তৱধৰ্মী ফটো য'ত ঠিক ৬টা আঙুলি দেখা গৈছে।
6,Counting,en,"A human hand waving, but it has only 4 fingers."
7,Counting,hi,"एक इंसानी हाथ लहरा रहा है, लेकिन उसमें केवल 4 उंगलियां हैं।"
8,Counting,es,"Una mano humana saludando, pero tiene solo 4 dedos."
9,Counting,ar,يد بشرية تلوح، لكن لها 4 أصابع فقط.
10,Counting,as,"এখন মানুহৰ হাতে লৰাই আছে, কিন্তু তাত মাত্ৰ ৪টা আঙুলিহে আছে।"
11,Counting,en,A photo of a mutant cat standing on 5 legs.
12,Counting,hi,5 पैरों पर खड़ी एक उत्परिवर्ती (म्यूटेंट) बिल्ली की तस्वीर।
13,Counting,es,Una foto de un gato mutante de pie sobre 5 patas.
14,Counting,ar,صورة لقطة متحولة تقف على 5 أرجل.
15,Counting,as,এখন মিউটেণ্ট মেকুৰীৰ ফটো যিটো ৫খন ভৰিত থিয় হৈ আছে।
16,Counting,en,A simple wooden table with exactly 3 red apples on it.
17,Counting,hi,एक साधारण लकड़ी की मेज जिस पर ठीक 3 लाल सेब रखे हैं।
18,Counting,es,Una mesa de madera sencilla con exactamente 3 manzanas rojas encima.
19,Counting,ar,طاولة خشبية بسيطة عليها 3 تفاحات حمراء بالضبط.
20,Counting,as,এখন সাধাৰণ কাঠৰ টেবুল যাৰ ওপৰত ঠিক ৩টা ৰঙা আপেল আছে।
21,Counting,en,A macro shot of exactly 2 gold coins lying on black velvet.
22,Counting,hi,काले मखमल पर पड़े ठीक 2 सोने के सिक्कों का मैक्रो शॉट।
23,Counting,es,Una toma macro de exactamente 2 monedas de oro sobre terciopelo negro.
24,Counting,ar,لقطة ماكرو لعملتين ذهبيتين بالضبط ملقاة على مخمل أسود.
25,Counting,as,কলা ভেলভেটৰ ওপৰত থকা ঠিক ২টা সোণৰ মুদ্ৰাৰ মেক্ৰ’ শ্বট।
26,Anatomy,en,"A realistic spider that is missing a leg, so it has only 7 legs."
27,Anatomy,hi,"एक यथार्थवादी मकड़ी जिसका एक पैर गायब है, इसलिए उसके केवल 7 पैर हैं।"
28,Anatomy,es,"Una araña realista a la que le falta una pata, por lo que solo tiene 7 patas."
29,Anatomy,ar,عنكبوت واقعي يفتقد ساقاً، لذا لديه 7 أرجل فقط.
30,Anatomy,as,"এজনী বাস্তৱধৰ্মী মকৰা যাৰ এখন ভৰি নাই, গতিকে তাৰ মাত্ৰ ৭খন ভৰিহে আছে।"
31,Anatomy,en,A sketch of a Hindu deity with 3 arms.
32,Anatomy,hi,3 भुजाओं वाले एक हिंदू देवता का स्केच।
33,Anatomy,es,Un boceto de una deidad hindú con 3 brazos.
34,Anatomy,ar,رسم لإله هندوسي بـ 3 أذرع.
35,Anatomy,as,৩খন হাত থকা এজন হিন্দু দেৱতাৰ স্কেচ।
36,Anatomy,en,"A surreal painting of a business suit standing up, but with no head or face visible."
37,Anatomy,hi,"एक बिज़नेस सूट की असली पेंटिंग जो खड़ी है, लेकिन कोई सिर या चेहरा दिखाई नहीं दे रहा है।"
38,Anatomy,es,"Una pintura surrealista de un traje de negocios de pie, pero sin cabeza ni rostro visible."
39,Anatomy,ar,لوحة سريالية لبدلة عمل تقف، ولكن دون رأس أو وجه مرئي.
40,Anatomy,as,"থিয় হৈ থকা এটা ব্যৱসায়িক চুটৰ অতিবাস্তৱ ছবি, কিন্তু কোনো মূৰ বা মুখ দেখা যোৱা নাই।"
41,Anatomy,en,A white horse with large eagle wings on its back.
42,Anatomy,hi,एक सफेद घोड़ा जिसकी पीठ पर बड़े ईगल के पंख हैं।
43,Anatomy,es,Un caballo blanco con grandes alas de águila en la espalda.
44,Anatomy,ar,حصان أبيض له أجنحة نسر كبيرة على ظهره.
45,Anatomy,as,এটা বগা ঘোঁৰা যাৰ পিঠিত ঈগলৰ ডাঙৰ পাহি আছে।
46,Anatomy,en,Portrait of a beautiful woman with bright green skin.
47,Anatomy,hi,चमकदार हरी त्वचा वाली एक खूबसूरत महिला का चित्र।
48,Anatomy,es,Retrato de una hermosa mujer con la piel de color verde brillante.
49,Anatomy,ar,صورة لامرأة جميلة ذات بشرة خضراء زاهية.
50,Anatomy,as,উজ্জ্বল সেউজীয়া ছালৰ এগৰাকী সুন্দৰী মহিলাৰ প্ৰতিকৃতি।
51,Text,en,A neon sign on a brick wall that says 'HELLO'.
52,Text,hi,ईंट की दीवार पर एक नियॉन साइन जिस पर 'HELLO' लिखा है।
53,Text,es,Un letrero de neón en una pared de ladrillo que dice 'HELLO'.
54,Text,ar,لافتة نيون على جدار من الطوب تقول 'HELLO'.
55,Text,as,ইটাৰ দেৱালত এটা নিয়ন চাইন য'ত 'HELLO' বুলি লিখা আছে।
56,Text,en,A soccer player wearing a jersey with the number 7 on it.
57,Text,hi,एक सॉकर खिलाड़ी जिसने जर्सी पहनी है जिस पर नंबर 7 लिखा है।
58,Text,es,Un jugador de fútbol con una camiseta que tiene el número 7.
59,Text,ar,لاعب كرة قدم يرتدي قميصاً عليه الرقم 7.
60,Text,as,এজন ফুটবলাৰ যিয়ে ৭ নম্বৰ লিখা জাৰ্চি পিন্ধি আছে।
61,Text,en,A piece of paper with the word 'Education' written in cursive.
62,Text,hi,कागज का एक टुकड़ा जिस पर कर्सिव में 'Education' शब्द लिखा है।
63,Text,es,Un trozo de papel con la palabra 'Education' escrita en cursiva.
64,Text,ar,قطعة من الورق كتب عليها كلمة 'Education' بخط متصل.
65,Text,as,এখন কাগজৰ টুকুৰা য'ত 'Education' শব্দটো পেঁচাই লিখা আছে।
66,Text,en,A close up of a gold badge that says 'POLICE'.
67,Text,hi,एक सोने के बैज का क्लोज़-अप जिस पर 'POLICE' लिखा है।
68,Text,es,Un primer plano de una insignia dorada que dice 'POLICE'.
69,Text,ar,لقطة مقربة لشارة ذهبية مكتوب عليها 'POLICE'.
70,Text,as,এটা সোণৰ বেজৰ ক্ল'জ আপ য'ত 'POLICE' বুলি লিখা আছে।
71,Text,en,A computer screen displaying a red box with the text 'ERROR'.
72,Text,hi,एक कंप्यूटर स्क्रीन जिस पर एक लाल बॉक्स दिखाई दे रहा है जिसमें 'ERROR' लिखा है।
73,Text,es,Una pantalla de computadora que muestra un cuadro rojo con el texto 'ERROR'.
74,Text,ar,شاشة كمبيوتر تعرض مربعاً أحمر مع نص 'ERROR'.
75,Text,as,এখন কম্পিউটাৰ স্ক্ৰীণ য'ত 'ERROR' লিখা এটা ৰঙা বাকচ দেখা গৈছে।
76,Spatial,en,A photo of an empty park bench with absolutely no dogs nearby.
77,Spatial,hi,एक खाली पार्क बेंच की तस्वीर जिसके आसपास बिल्कुल कोई कुत्ता नहीं है।
78,Spatial,es,Una foto de un banco de parque vacío sin absolutamente ningún perro cerca.
79,Spatial,ar,صورة لمقعد حديقة فارغ ولا يوجد أي كلاب قريبة إطلاقاً.
80,Spatial,as,এখন খালী উদ্যানৰ বেঞ্চৰ ফটো যাৰ আশে-পাশে কোনো কুকুৰ নাই।
81,Spatial,en,A table with a red apple on the left and a blue cup on the right.
82,Spatial,hi,एक मेज जिसके बाईं ओर एक लाल सेब है और दाईं ओर एक नीला कप है।
83,Spatial,es,Una mesa con una manzana roja a la izquierda y una taza azul a la derecha.
84,Spatial,ar,طاولة عليها تفاحة حمراء على اليسار وكوب أزرق على اليمين.
85,Spatial,as,এখন টেবুল যাৰ বাওঁফালে এটা ৰঙা আপেল আৰু সোঁফালে এটা নীলা কাপ আছে।
86,Spatial,en,"A cat sitting next to a cardboard box, not inside it."
87,Spatial,hi,"एक गत्ते के डिब्बे के बगल में बैठी बिल्ली, उसके अंदर नहीं।"
88,Spatial,es,"Un gato sentado al lado de una caja de cartón, no dentro de ella."
89,Spatial,ar,قطة تجلس بجوار صندوق من الورق المقوى، وليست بداخله.
90,Spatial,as,"এটা মেকুৰী কাৰ্ডবৰ্ডৰ বাকচৰ কাষত বহি আছে, তাৰ ভিতৰত নহয়।"
91,Spatial,en,A clean white dinner plate that has no food on it.
92,Spatial,hi,एक साफ सफेद खाने की प्लेट जिस पर कोई खाना नहीं है।
93,Spatial,es,Un plato de cena blanco y limpio que no tiene comida.
94,Spatial,ar,طبق عشاء أبيض نظيف لا يوجد عليه طعام.
95,Spatial,as,এখন পৰিষ্কাৰ বগা খোৱা প্লেট যাৰ ওপৰত কোনো খাদ্য নাই।
96,Spatial,en,A portrait of an old man wearing a hat but no glasses.
97,Spatial,hi,"टोपी पहने हुए एक बूढ़े आदमी का चित्र, लेकिन चश्मा नहीं।"
98,Spatial,es,Un retrato de un anciano con sombrero pero sin gafas.
99,Spatial,ar,صورة لرجل عجوز يرتدي قبعة ولكن بدون نظارة.
100,Spatial,as,টুপি পিন্ধা এজন বৃদ্ধ মানুহৰ প্ৰতিকৃতি কিন্তু চচমা নাই।
101,Impossible,en,"A goldfish swimming inside a lightbulb filled with air, not water."
102,Impossible,hi,एक सुनहरी मछली जो हवा से भरे (पानी से नहीं) लाइटबल्ब के अंदर तैर रही है।
103,Impossible,es,"Un pez dorado nadando dentro de una bombilla llena de aire, no de agua."
104,Impossible,ar,سمكة ذهبية تسبح داخل مصباح كهربائي مملوء بالهواء وليس الماء.
105,Impossible,as,"এটা গোল্ডফিছ যিটো পানীৰে নহয়, বতাহেৰে ভৰা লাইটবাল্বৰ ভিতৰত সাঁতুৰি আছে।"
106,Impossible,en,A red car driving on fluffy white clouds in the sky.
107,Impossible,hi,आसमान में सफेद बादलों पर चलती हुई एक लाल कार।
108,Impossible,es,Un coche rojo conduciendo sobre nubes blancas y esponjosas en el cielo.
109,Impossible,ar,سيارة حمراء تسير على سحب بيضاء رقيقة في السماء.
110,Impossible,as,আকাশত বগা ডাৱৰৰ ওপৰেৰে চলি থকা এখন ৰঙা গাড়ী।
111,Impossible,en,A campfire burning brightly underwater on the ocean floor.
112,Impossible,hi,समुद्र के तल पर पानी के भीतर एक कैम्प फायर (अलाव) जल रहा है।
113,Impossible,es,Una fogata ardiendo brillantemente bajo el agua en el fondo del océano.
114,Impossible,ar,نار مخيم تشتعل بشكل مشرق تحت الماء في قاع المحيط.
115,Impossible,as,সাগৰৰ তলত পানীৰ তলত উজ্জ্বলকৈ জ্বলি থকা এক কেম্পফায়াৰ।
116,Impossible,en,A city street where the rain is falling upwards towards the sky.
117,Impossible,hi,एक शहर की सड़क जहां बारिश आसमान की ओर ऊपर जा रही है।
118,Impossible,es,"Una calle de la ciudad donde la lluvia cae hacia arriba, hacia el cielo."
119,Impossible,ar,شارع في المدينة حيث يتساقط المطر صعوداً نحو السماء.
120,Impossible,as,এখন চহৰৰ ৰাস্তা য'ত বৰষুণজাক আকাশৰ ফালে ওপৰলৈ গৈ আছে।
121,Impossible,en,A night sky with a moon that is shaped like a square.
122,Impossible,hi,एक रात का आकाश जिसमें एक चंद्रमा है जो चौकोर आकार का है।
123,Impossible,es,Un cielo nocturno con una luna que tiene forma cuadrada.
124,Impossible,ar,سماء ليلية بها قمر مربع الشكل.
125,Impossible,as,এখন নিশাৰ আকাশ য'ত জোনটো বৰ্গাকৃতিৰ।
126,Geometry,en,A photograph of a perfectly triangular window on a building.
127,Geometry,hi,इमारत पर एक पूरी तरह से त्रिकोणीय खिड़की की तस्वीर।
128,Geometry,es,Una fotografía de una ventana perfectamente triangular en un edificio.
129,Geometry,ar,صورة لنافذة مثلثة تماماً على مبنى.
130,Geometry,as,অট্টালিকা এটাত এখন সম্পূৰ্ণ ত্ৰিভুজাকাৰ খিৰিকীৰ ফটো।
131,Geometry,en,Escher-style stairs that go up in an infinite loop.
132,Geometry,hi,एस्चर-शैली की सीढ़ियाँ जो एक अनंत लूप में ऊपर जाती हैं।
133,Geometry,es,Escaleras estilo Escher que suben en un bucle infinito.
134,Geometry,ar,سلالم على طراز إيشر تصعد في حلقة لا نهائية.
135,Geometry,as,এস্কাৰ-শৈলীৰ চিৰি যিবোৰ এটা অনন্ত লুপত ওপৰলৈ গৈ থাকে।
136,Geometry,en,"A man looking in a mirror, but the reflection shows the back of his head."
137,Geometry,hi,"एक आदमी आईने में देख रहा है, लेकिन प्रतिबिंब उसके सिर के पिछले हिस्से को दिखाता है।"
138,Geometry,es,"Un hombre mirándose en un espejo, pero el reflejo muestra la parte posterior de su cabeza."
139,Geometry,ar,رجل ينظر في المرآة، لكن الانعكاس يظهر مؤخرة رأسه.
140,Geometry,as,"এজন মানুহে আইনা চাই আছে, কিন্তু প্ৰতিবিম্বত তেওঁৰ মূৰৰ পিছফালটো দেখা গৈছে।"
141,Geometry,en,A cube floating in the air casting a shadow that is a circle.
142,Geometry,hi,हवा में तैरता हुआ एक घन जिसकी परछाई एक वृत्त (गोला) है।
143,Geometry,es,Un cubo flotando en el aire proyectando una sombra que es un círculo.
144,Geometry,ar,مكعب يطفو في الهواء يلقي ظلاً عبارة عن دائرة.
145,Geometry,as,বতাহত ভাঁহি থকা এটা ঘনক যাৰ ছাঁটো এটা বৃত্ত।
146,Geometry,en,A landscape photo where the horizon line is vertical instead of horizontal.
147,Geometry,hi,एक परिदृश्य तस्वीर जहां क्षितिज रेखा क्षैतिज के बजाय ऊर्ध्वाधर (खड़ी) है।
148,Geometry,es,Una foto de paisaje donde la línea del horizonte es vertical en lugar de horizontal.
149,Geometry,ar,صورة منظر طبيعي حيث خط الأفق عمودي بدلاً من أفقي.
150,Geometry,as,এখন প্ৰাকৃতিক দৃশ্যৰ ফটো য'ত দিগন্ত ৰেখা অনুভূমিক হোৱাৰ পৰিৱৰ্তে উলম্ব।
151,Color,en,A landscape with bright blue grass and a red sky.
152,Color,hi,चमकदार नीली घास और लाल आसमान वाला एक परिदृश्य।
153,Color,es,Un paisaje con hierba azul brillante y un cielo rojo.
154,Color,ar,منظر طبيعي بعشب أزرق لامع وسماء حمراء.
155,Color,as,উজ্জ্বল নীলা ঘাঁহ আৰু ৰঙা আকাশ থকা এক দৃশ্য।
156,Color,en,A close-up of a blue strawberry.
157,Color,hi,एक नीले स्ट्रॉबेरी का क्लोज़-अप।
158,Color,es,Un primer plano de una fresa azul.
159,Color,ar,لقطة مقربة لفراولة زرقاء.
160,Color,as,এটা নীলা ষ্ট্ৰবেৰীৰ ক্ল'জ আপ।
161,Color,en,A zebra with green and yellow stripes.
162,Color,hi,हरी और पीली धारियों वाला एक ज़ेबरा।
163,Color,es,Una cebra con rayas verdes y amarillas.
164,Color,ar,حمار وحشي بخطوط خضراء وصفراء.
165,Color,as,সেউজীয়া আৰু হালধীয়া পটি থকা এটা জেব্ৰা।
166,Texture,en,A rock covered in soft fur.
167,Texture,hi,मुलायम फर से ढकी एक चट्टान।
168,Texture,es,Una roca cubierta de pelaje suave.
169,Texture,ar,صخرة مغطاة بالفراء الناعم.
170,Texture,as,কোমল নোমেৰে আবৃত এটা শিল।
171,Texture,en,A car made entirely of transparent glass.
172,Texture,hi,पूरी तरह से पारदर्शी कांच से बनी एक कार।
173,Texture,es,Un coche hecho enteramente de vidrio transparente.
174,Texture,ar,سيارة مصنوعة بالكامل من الزجاج الشفاف.
175,Texture,as,সম্পূৰ্ণ স্বচ্ছ কাঁচৰ দ্বাৰা নিৰ্মিত এখন গাড়ী।
176,Action,en,A person running backwards on a track.
177,Action,hi,ट्रैक पर पीछे की ओर दौड़ता हुआ एक व्यक्ति।
178,Action,es,Una persona corriendo hacia atrás en una pista.
179,Action,ar,شخص يركض للخلف على مضمار.
180,Action,as,ট্ৰেকত পিছফাললৈ দৌৰি থকা এজন ব্যক্তি।
181,Action,en,Water pouring out of a bottle but freezing in mid-air instantly.
182,Action,hi,बोतल से पानी गिर रहा है लेकिन हवा में ही तुरंत जम रहा है।
183,Action,es,Agua saliendo de una botella pero congelándose en el aire al instante.
184,Action,ar,ماء ينسكب من زجاجة لكنه يتجمد في الهواء فوراً.
185,Action,as,বটলৰ পৰা পানী ওলাইছে কিন্তু লগে লগে বতাহতে গোট মাৰিছে।
186,Action,en,"A basketball flattened on the ground, not bouncing."
187,Action,hi,"ज़मीन पर चपटी हुई बास्केटबॉल, उछल नहीं रही है।"
188,Action,es,"Una pelota de baloncesto aplastada en el suelo, sin rebotar."
189,Action,ar,كرة سلة مسطحة على الأرض، لا ترتد.
190,Action,as,"মাটিত চেপেটা হৈ থকা এটা বাস্কেটবল, বাউন্স হোৱা নাই।"
191,Action,en,A wine glass shattering into pieces.
192,Action,hi,टुकड़ों में बिखरता हुआ एक वाइन ग्लास।
193,Action,es,Una copa de vino haciéndose añicos.
194,Action,ar,كأس نبيذ يتحطم إلى قطع.
195,Action,as,টুকুৰা টুকুৰকৈ ভাঙি যোৱা এটা ৱাইন গ্লাছ।
196,Action,en,A candle with a black wick and no flame.
197,Action,hi,काली बाती वाली एक मोमबत्ती और कोई लौ नहीं।
198,Action,es,Una vela con una mecha negra y sin llama.
199,Action,ar,شمعة بفتيل أسود وبدون لهب.
200,Action,as,কলা শলিতা থকা এডাল মমবাতি আৰু কোনো জুই নাই।
